002193.SZ,002633.SZ,600243.SH,603825.SH,688365.SH
0,0,0,1000,1000
1000,0,1000,1000,-1000
1000,1000,1000,1000,1000
1000,-400,-1000,1000,-200
1000,-600,-1000,-1000,-800
1000,0,1000,-1000,1000
1000,0,-1000,1000,1000
-1000,1000,0,1000,-1000
-1000,1000,1000,1000,-1000
-1000,1000,1000,-1000,1000
-1000,-1000,-1000,1000,1000
1000,-1000,1000,-1000,1000
1000,1000,1000,-1000,1000
-1000,1000,1000,1000,1000
1000,-1000,1000,-1000,1000
-1000,-1000,1000,-1000,1000
-1000,1000,1000,1000,1000
1000,1000,1000,-1000,-1000
-1000,-1000,1000,1000,1000
-1000,1000,-1000,1000,-1000
1000,1000,1000,-1000,1000
1000,-1000,1000,-1000,-500
-1000,-1000,-1000,-1000,1000
-1000,-1000,1000,-200,1000
-1000,-1000,1000,-800,1000
0,0,-1000,1000,1000
0,1000,-1000,1000,-1000
0,1000,-1000,-1000,-1000
0,1000,1000,1000,1000
1000,-1000,1000,-1000,-1000
-1000,-1000,1000,-1000,1000
1000,-1000,-1000,0,1000
-1000,1000,-1000,0,1000
0,1000,-1000,1000,-1000
1000,1000,1000,-1000,-1000
-1000,1000,-1000,1000,1000
1000,1000,1000,-1000,1000
-1000,1000,1000,0,1000
0,-1000,1000,1000,-1000
0,1000,-1000,1000,-1000
1000,-1000,-1000,1000,1000
-1000,1000,1000,-1000,1000
1000,1000,1000,1000,1000
-1000,-1000,1000,1000,-1000
1000,1000,1000,-1000,-700
-1000,-1000,1000,-1000,1000
0,-1000,1000,-1000,-1000
0,1000,-1000,1000,-1000
0,1000,1000,1000,1000
0,1000,1000,1000,-1000
1000,-1000,-1000,-1000,-1000
1000,-1000,1000,1000,-1000
1000,1000,1000,1000,1000
1000,-1000,-1000,1000,1000
-1000,-1000,1000,-1000,1000
-1000,-1000,1000,1000,1000
1000,1000,1000,1000,1000
-1000,1000,-1000,1000,1000
1000,-1000,-1000,1000,1000
-1000,-1000,-1000,1000,1000
-1000,-1000,1000,-1000,-1000
-1000,1000,1000,-1000,1000
0,1000,-1000,-200,1000
0,1000,1000,-1000,1000
0,1000,1000,1000,1000
0,1000,1000,1000,-1000
1000,1000,-1000,1000,1000
1000,1000,-1000,-1000,1000
-1000,1000,1000,1000,1000
1000,-1000,-1000,-1000,1000
-1000,1000,1000,1000,1000
-1000,-1000,1000,1000,-1000
0,1000,-1000,1000,-1000
1000,1000,1000,1000,1000
1000,-1000,1000,-1000,-1000
-1000,-300,1000,-1000,1000
-1000,-1000,1000,-300,1000
1000,-1000,-1000,1000,-1000
-1000,1000,1000,-1000,-1000
1000,-1000,-1000,1000,-1000
-1000,-100,1000,1000,-1000
0,1000,-1000,1000,-1000
