tic,time,open,high,low,close,volume,day
002193.SZ,2022-01-04,6.3,6.88,6.22,6.74,65993.22,1
002633.SZ,2022-01-04,8.56,8.88,8.4,8.88,30553.01,1
600243.SH,2022-01-04,4.55,4.67,4.5,4.66,86701.03,1
603825.SH,2022-01-04,29.6,31.65,29.09,30.07,185340.41,1
688365.SH,2022-01-04,13.99,14.47,13.79,14.35,26581.62,1
002193.SZ,2022-01-05,6.8,6.8,6.51,6.66,37263.0,2
002633.SZ,2022-01-05,8.88,8.89,8.6,8.7,20527.0,2
600243.SH,2022-01-05,4.67,4.69,4.54,4.58,65632.0,2
603825.SH,2022-01-05,30.33,31.32,28.5,30.04,143460.97,2
688365.SH,2022-01-05,14.29,14.57,14.29,14.41,25117.53,2
002193.SZ,2022-01-06,6.66,6.97,6.65,6.75,48922.0,3
002633.SZ,2022-01-06,8.7,9.0,8.65,8.85,19443.0,3
600243.SH,2022-01-06,4.57,4.64,4.54,4.6,46276.04,3
603825.SH,2022-01-06,28.75,29.33,27.18,28.01,157590.82,3
688365.SH,2022-01-06,14.51,14.51,14.18,14.24,11239.94,3
002193.SZ,2022-01-07,6.75,6.82,6.45,6.47,32685.0,4
002633.SZ,2022-01-07,8.86,8.93,8.07,8.59,21724.89,4
600243.SH,2022-01-07,4.6,4.64,4.52,4.53,54542.0,4
603825.SH,2022-01-07,28.29,29.13,26.18,26.33,155812.81,4
688365.SH,2022-01-07,14.29,14.43,13.91,13.96,15748.77,4
002193.SZ,2022-01-10,6.4,6.56,6.33,6.53,20097.34,0
002633.SZ,2022-01-10,8.59,8.79,8.49,8.67,14056.0,0
600243.SH,2022-01-10,4.53,4.59,4.45,4.59,43838.03,0
603825.SH,2022-01-10,26.29,26.5,24.88,25.46,166275.07,0
688365.SH,2022-01-10,14.19,14.27,13.67,14.19,12412.74,0
002193.SZ,2022-01-11,6.52,6.72,6.42,6.45,29878.1,1
002633.SZ,2022-01-11,8.69,9.06,8.66,8.96,24283.0,1
600243.SH,2022-01-11,4.59,4.67,4.58,4.63,72494.01,1
603825.SH,2022-01-11,25.75,25.88,23.51,23.61,162541.03,1
688365.SH,2022-01-11,14.19,14.35,13.92,14.05,13168.37,1
002193.SZ,2022-01-12,6.5,6.68,6.4,6.53,29283.0,2
002633.SZ,2022-01-12,9.07,9.86,8.85,9.86,38033.82,2
